sample_id,latitude,longitude,elevation,lab_name,collected_at,comments,Au,Cu,Ag,Zn,Pb,As,Sb,Bi,Mo,W
GSA-2024-0001,-26.483222,118.607185,309.65,Bureau Veritas,2024-07-02,Sample site 1 - Gossanous outrcop,173.4,1082.04,4.651,767.588,409.364,492.652,18.556,11.574,35.169,6.091
GSA-2024-0002,-26.306985,118.260779,486.67,SGS Australia,2024-07-08,Sample site 2 - Soil sample B-horizon,488.081,1373.311,40.26,1631.237,360.631,409.925,82.749,40.538,179.294,119.896
GSA-2024-0003,-26.443468,118.283922,455.08,Bureau Veritas,2024-01-19,Sample site 3 - Quartz vein,167.189,4992.394,37.742,413.34,449.012,135.452,27.752,5.104,66.207,67.1
GSA-2024-0004,-26.570471,118.503273,444.49,Intertek Genalysis,2024-03-31,Sample site 4 - Subcrop,208.865,2488.767,31.819,1578.273,803.382,378.455,64.388,10.883,62.153,120.065
GSA-2024-0005,-26.259497,118.735846,437.24,SGS Australia,2024-01-04,Sample site 5 - Quartz vein,70.255,475.706,41.035,971.359,192.537,181.344,37.533,4.003,144.482,148.293
GSA-2024-0006,-26.731662,118.568463,429.85,Intertek Genalysis,2024-07-26,Sample site 6 - Gossanous outrcop,264.961,138.791,40.514,1087.058,442.064,179.535,43.988,3.113,197.888,112.012
GSA-2024-0007,-26.543479,118.319151,563.39,Intertek Genalysis,2024-03-08,Sample site 7 - Stream sediment,346.287,1850.002,22.599,420.982,8.641,453.825,18.392,18.579,781.189,145.269
GSA-2024-0008,-26.412595,118.610029,522.44,SGS Australia,2024-10-22,Sample site 8 - Soil sample B-horizon,334.186,914.276,48.929,319.367,175.33,458.547,81.49,3.959,81.278,62.768
GSA-2024-0009,-26.728429,118.614677,565.39,Intertek Genalysis,2024-02-24,Sample site 9 - Soil sample B-horizon,349.979,3832.098,14.27,535.956,3883.762,163.007,9.082,18.315,46.453,59.141
GSA-2024-0010,-26.718577,118.46665,395.93,Bureau Veritas,2024-03-28,Sample site 10 - Soil sample B-horizon,212.932,157.445,46.79,1102.516,775.487,175.183,41.185,7.858,38.089,109.99
GSA-2024-0011,-26.553474,118.595274,381.94,Intertek Genalysis,2024-01-15,Sample site 11 - Stream sediment,388.128,565.927,32.191,96.929,447.62,404.331,25.29,4.452,1.958,126.024
GSA-2024-0012,-26.644464,118.743601,428.84,ALS Global,2024-05-26,Sample site 12 - Gossanous outrcop,37.716,4469.888,14.053,1669.138,349.063,430.959,58.922,16.385,202.235,142.936
GSA-2024-0013,-26.55052,118.647732,350.69,SGS Australia,2024-03-27,Sample site 13 - Gossanous outrcop,178.884,4404.677,5.142,129.991,428.717,408.281,53.033,2.254,180.793,129.201
GSA-2024-0014,-26.523094,118.436341,315.2,Bureau Veritas,2024-07-17,Sample site 14 - Gossanous outrcop,181.016,4356.778,10.028,1529.891,351.76,488.079,43.096,3.321,69.611,57.571
GSA-2024-0015,-26.392246,118.621972,305.75,Intertek Genalysis,2024-05-30,Sample site 15 - Quartz vein,356.875,2471.051,15.856,603.761,567.024,38.84,45.724,17.216,54.908,139.508
GSA-2024-0016,-26.516651,118.458485,333.46,Intertek Genalysis,2024-07-04,Sample site 16 - Stream sediment,272.035,1537.183,45.338,1906.455,264.222,285.214,47.804,3.372,160.744,17.852
GSA-2024-0017,-26.554307,118.521149,379.93,ALS Global,2024-06-11,Sample site 17 - Quartz vein,43.356,197.006,22.018,1352.502,876.349,285.103,38.201,4.931,141.207,129.138
GSA-2024-0018,-26.283352,118.508008,377.48,Intertek Genalysis,2024-05-31,Sample site 18 - Soil sample B-horizon,427.468,1933.511,5.406,656.323,32.689,451.482,9.62,15.109,4.621,48.415
GSA-2024-0019,-26.431479,118.383377,491.06,ALS Global,2024-10-24,Sample site 19 - Stream sediment,63.96,2604.792,24.689,809.128,869.18,317.859,70.534,94.99,120.936,41.856
GSA-2024-0020,-26.342514,118.422138,343.41,SGS Australia,2024-07-12,Sample site 20 - Gossanous outrcop,162.541,3067.238,7.482,951.027,451.666,457.773,19.641,18.153,179.235,126.345
GSA-2024-0021,-26.297201,118.720405,390.05,SGS Australia,2024-06-20,Sample site 21 - Gossanous outrcop,57.647,790.536,35.275,836.127,203.762,35.376,34.114,18.089,23.532,135.297
GSA-2024-0022,-26.430211,118.736611,444.8,SGS Australia,2024-02-29,Sample site 22 - Stream sediment,112.523,2205.941,45.721,1026.965,555.803,284.39,487.954,16.703,135.724,117.674
GSA-2024-0023,-26.255717,118.449594,303.45,Intertek Genalysis,2024-08-29,Sample site 23 - Soil sample B-horizon,162.735,867.707,30.414,1398.697,632.697,497.962,2.885,10.866,148.011,83.603
GSA-2024-0024,-26.468763,118.365159,507.37,SGS Australia,2024-03-06,Sample site 24 - Gossanous outrcop,352.471,2168.751,49.83,957.417,369.576,181.784,59.084,9.604,185.872,77.871
GSA-2024-0025,-26.288865,118.277144,368.62,Bureau Veritas,2024-09-23,Sample site 25 - Soil sample B-horizon,256.15,2433.795,18.565,1491.553,196.635,404.035,42.357,16.933,46.823,142.454
GSA-2024-0026,-26.581764,118.727817,459.5,ALS Global,2024-01-17,Sample site 26 - Subcrop,325.133,2862.761,18.974,5244.761,78.104,349.734,76.939,12.543,740.566,63.156
GSA-2024-0027,-26.71476,118.402764,493.95,SGS Australia,2024-02-23,Sample site 27 - Soil sample B-horizon,440.105,3730.798,21.602,1449.547,438.151,91.1,14.087,3.22,114.864,49.046
GSA-2024-0028,-26.636761,118.749489,514.29,Bureau Veritas,2024-06-30,Sample site 28 - Gossanous outrcop,386.089,3842.657,13.326,1173.582,578.676,440.3,41.682,74.973,154.163,76.916
GSA-2024-0029,-26.296485,118.258581,347.23,Intertek Genalysis,2024-04-13,Sample site 29 - Stream sediment,55.349,11802.792,28.262,1356.044,3800.002,125.497,11.745,4.863,946.138,96.023
GSA-2024-0030,-26.419683,118.695984,362.4,SGS Australia,2024-03-17,Sample site 30 - Gossanous outrcop,147.865,1529.844,47.757,981.02,415.015,84.768,25.686,18.034,4.652,66.514
GSA-2024-0031,-26.496039,118.267944,427.95,Bureau Veritas,2024-04-07,Sample site 31 - Soil sample B-horizon,327.768,2978.031,4.409,574.741,662.986,251.847,31.915,3.102,178.424,12.178
GSA-2024-0032,-26.732883,118.389925,345.77,ALS Global,2024-04-20,Sample site 32 - Stream sediment,946.576,15902.183,10.415,1658.822,11.148,402.927,89.605,7.542,153.847,136.435
GSA-2024-0033,-26.46054,118.426354,594.01,SGS Australia,2024-06-08,Sample site 33 - Soil sample B-horizon,169.701,4132.553,28.447,1811.718,906.812,21.052,0.826,0.28,155.205,125.895
GSA-2024-0034,-26.537944,118.607206,342.12,ALS Global,2024-08-28,Sample site 34 - Subcrop,315.543,2587.86,12.132,1429.935,92.186,199.807,52.596,10.067,37.395,127.654
GSA-2024-0035,-26.482494,118.251743,315.13,Bureau Veritas,2024-06-20,Sample site 35 - Soil sample B-horizon,477.491,4964.464,2.914,382.016,488.748,429.925,63.899,10.158,16.931,35.713
GSA-2024-0036,-26.400436,118.739184,459.15,Intertek Genalysis,2024-04-14,Sample site 36 - Subcrop,334.109,1730.948,13.698,751.087,615.204,306.604,31.565,11.158,62.215,124.696
GSA-2024-0037,-26.612701,118.730239,374.7,SGS Australia,2024-07-25,Sample site 37 - Subcrop,260.055,3248.254,9.85,241.598,966.059,277.403,41.334,18.233,133.594,148.222
GSA-2024-0038,-26.277511,118.528095,359.13,Intertek Genalysis,2024-08-29,Sample site 38 - Gossanous outrcop,495.533,4664.235,33.909,5481.476,38.511,237.009,76.632,14.515,145.458,25.849
GSA-2024-0039,-26.446174,118.60701,405.52,Intertek Genalysis,2024-06-30,Sample site 39 - Subcrop,405.548,48.194,15.992,1965.356,939.298,424.392,93.597,14.082,58.308,82.755
GSA-2024-0040,-26.588427,118.671055,590.82,Bureau Veritas,2024-09-24,Sample site 40 - Quartz vein,305.534,2808.192,41.545,160.881,893.605,287.692,91.011,16.057,130.131,60.523
GSA-2024-0041,-26.684647,118.480885,406.63,Intertek Genalysis,2024-01-05,Sample site 41 - Soil sample B-horizon,302.622,3682.335,48.41,972.966,878.497,413.182,51.225,14.866,99.061,122.473
GSA-2024-0042,-26.285109,118.688657,556.07,SGS Australia,2024-01-05,Sample site 42 - Gossanous outrcop,437.041,4036.099,124.892,322.134,322.239,245.999,60.212,0.66,31.108,18.898
GSA-2024-0043,-26.530839,118.725078,482.94,SGS Australia,2024-05-03,Sample site 43 - Stream sediment,145.977,1544.521,21.089,1998.593,316.556,297.277,125.369,14.492,120.234,79.277
GSA-2024-0044,-26.733147,118.63925,533.54,SGS Australia,2024-09-11,Sample site 44 - Quartz vein,475.337,2343.033,44.559,210.646,473.379,380.164,29.07,17.711,26.96,20.322
GSA-2024-0045,-26.534092,118.723699,477.38,Intertek Genalysis,2024-10-10,Sample site 45 - Gossanous outrcop,182.508,3938.867,37.366,281.159,620.631,4.611,84.016,0.764,137.304,123.45
GSA-2024-0046,-26.729013,118.271987,401.93,ALS Global,2024-04-13,Sample site 46 - Soil sample B-horizon,483.467,2425.697,18.361,6890.924,227.836,110.399,61.694,18.156,116.858,2.479
GSA-2024-0047,-26.378599,118.645303,492.09,Intertek Genalysis,2024-01-27,Sample site 47 - Gossanous outrcop,58.708,21989.713,20.576,1764.243,597.031,350.886,92.654,15.535,24.144,306.157
GSA-2024-0048,-26.645883,118.369471,512.09,SGS Australia,2024-07-28,Sample site 48 - Subcrop,140.222,1714.525,34.285,134.673,156.498,323.915,57.155,16.445,142.099,13.345
GSA-2024-0049,-26.578368,118.489017,582.05,Bureau Veritas,2024-01-27,Sample site 49 - Stream sediment,218.1,2582.463,14.626,306.778,540.395,3.18,49.198,4.619,53.383,147.681
GSA-2024-0050,-26.730146,118.517562,392.57,ALS Global,2024-07-21,Sample site 50 - Quartz vein,331.663,1525.244,42.762,1326.84,241.628,314.231,84.766,19.404,27.506,55.669
GSA-2024-0051,-26.714551,118.554061,405.79,Intertek Genalysis,2024-05-21,Sample site 51 - Subcrop,443.738,4105.574,36.971,572.828,944.192,481.595,60.745,3.526,118.036,26.803
